crop_name,crop_diseases,crop_causes,crop_symptom,cultural_control,chemical_control,biological_control
Tomato ,(Lycopersicon esculentum)-Bacterial Spot,"Xanthomonas campestris pv. vesicatoria is a bacterium that overwinters in plant refuse for up to 2 years and can be seedborne. The bacterium infects solanceous weeds such as black nightshade and ground cherry; some strains also infect pepper. Disease may be spread in the field or greenhouse by water (rain, irrigation), insects, equipment, and animals. Temperatures between 75°F and 86°F with a high relative humidity promote disease. Water in the form of dew, rain, or sprinkler irrigation is important for spread.


","Small, semi-circular areas, which have a water-soaked appearance first appear on leaves. Initial leaf spots enlarge, turn dark brown, and are commonly irregular in shape. Small blisters can develop on fruit, and will eventually take on a brown, scabby appearance. Leaf spots can grow together, turning much on the leaf brown. Stems and petioles may exhibit dark streaks. Defoliation, stunting, and reductions in yield result from severe infections.


","

1) Use only pathogen-free seed and transplants.

2) When producing transplants, use pathogen-free soil and flats. Sterilize flats with boiling water or steam, or disinfect with a 5-min. soak in a bleach solution (1 part bleach to 3 parts water). Clean flats to remove all organic matter before treatment.

3) Disinfect pruners between plants, or snap off suckers with fingers instead of pruning with a knife.

4) Disinfect stakes, trellises, and wires.

5) Plant in pathogen-free fields, or use a 3-year field rotation.

6) Eradicate solanaceous weeds such as nightshades and volunteer tomatoes.

7) Do not handle plants or work fields when they are wet.

8) Incorporate infected crop residues to hasten decomposition.

","


1) Seed treatment with sodium hypochlorite. Wrap seed in a cheesecloth bag and soak with agitation 40 min. in 1.05% sodium hypochlorite (one part household bleach to five parts water). Spread out seed and allow to dry. Prepare fresh solution for each batch of seed.

","


1) Double Nickel LC at 0.5 to 6 quarts/A on 3- to 10-day intervals. Can be applied the day of harvest. 4-hr reentry.

2) LifeGard WG (Group P6) at 1 to 4.5 oz/100 gal on 7- to 14-day intervals for activating plant resistance. Refer to label for appropriate rate per application volume. Preharvest interval is 0 days. 4-hr reentry .

"
Tomato ,(Lycopersicon esculentum)-Blossom-end Rot,"A localized calcium deficiency due to any soil or growing condition that affects calcium uptake. This physiological problem is common, especially in home gardens. Blossom-end rot often occurs when soil moisture fluctuates. If too little calcium is in the soil or if the soil is high in salts, calcium uptake will be impeded, especially under periods of sudden drought stress. Excessive nitrogen applications, especially in the ammonium form, can increase a plant's demand for calcium. Once calcium is used in the plant, it becomes immobilized and cannot be translocated from older tissues to younger, growing tissues, which need calcium.


","A water-soaked, light tan spot at the blossom end or side of a fruit. The spot enlarges, becoming dark brown or black and leathery. Normally, spots are dry but may become soft if secondary bacteria and fungi invade the fruit. Affected fruit ripen faster than normal.


","

1) Do not plant tomatoes where drainage is poor, surface water accumulates, or soil is droughty.

2) Use a soil test to determine if there is a calcium shortage. If so, add lime, preferably in fall, to adjust soil pH to 6.8 to 7. Mix lime thoroughly in top 8 to 12 inches of soil.

3) Mulch plants with black plastic or loose organic material.

4) Ensure uniform soil moisture. Wet all soil in the root zone at least every 7 to 10 days. About 24 hours after watering, dig a small hole one foot deep to be certain water penetrated that far. Home gardeners should provide even moisture throughout fruiting by controlled watering and mulching.

5) Ensure good air movement by plant spacing and pruning practices. Bu reducing relative humidity, plant transpiration increases, aiding in the uptake of calcium when sufficient amounts are present in soil.

6) Fertilize only moderately to keep plants normally green and vigorous but not luxuriant. Side-dress with nitrogen fertilizer only if required to maintain green color and moderate growth.

7) Foliar applications of calcium nitrate fertilizers or calcium chloride dihydrate (1.5 teaspoons per gal water plus 0.5 teaspoon of a surfactant such as CapSil) on a weekly basis during fruiting can provide necessary calcium when needed. Phytotoxicity may result but making applications in early morning can help avoid spray injury.

",,
Tomato ,(Lycopersicon esculentum)-Catface,"Physiological problem that occurs to somes extent wherever large, fresh-market tomatoes grow. Some cultivars are more likely to show catfacing than others. Growth disturbances during blossoming are thought to be the cause. Prolonged unseasonably cool weather may be involved. Excessive nitrogen fertilizer may aggravate the problem. Catface also may follow exposure to growth-hormone-type herbicides such as 2,4-D. Some fruit of  'Oregon Spring' is affected by catface every year.


","Extreme malformation and scarring at the fruit's blossom end. This may include cavities extending toward the center of the fruit and irregular protuberances. Bands of brown scar tissue usually are between the swellings.


","

1) Use cultivars less likely to have this problem.

2) In greenhouses, avoid low temperatures.

",,
Tomato ,(Lycopersicon esculentum)-Common Mosaic of Tomato (Internal Browning of Fruit),"Tomato mosaic virus (most commonly) or Tobacco mosaic virus, which also affects pepper, eggplant, petunia, and many other solanaceous plants. The virus spreads readily by workers' hands, equipment, and clothing. It persists in infected plant residue and may be on seed.


","Symptoms depend on the virus strain. Often, foliage mottles with alternating light and dark green areas. New leaflets curl and are slightly malformed. More severely affected leaves are badly distorted and rather fern-like. Plants usually are somewhat stunted and bear few fruit if infected when young. Plants and fruit are not much smaller if plants are infected after they reach fruiting stage. Occasionally necrotic spots or streaks develop on stems and leaves. Sometimes fruit ripens unevenly, or the fruit wall turns brown internally.


","

1) Use resistant cultivars.

2) Use healthy transplants and pathogen-free seed.

3) Wash hands with soap and water before handling plants.

4) Disinfect equipment.

5) Use clean soil each year in seedbeds, or sterilize old soil.

6) Do not plant in a field with infected debris.

7) Do not smoke while handling tomato plants.

",,
Tomato ,(Lycopersicon esculentum)-Curly Top,"The Beet curly top virus, which also infects a wide range of crops such as bean, beet, cucurbits, spinach, squash, and pepper. The virus is disseminated by the beet leafhopper, Circulifer tenellus. There are no reports of seed transmission. The disease may be severe in central and eastern Oregon and Washington. It occurs in the Willamette Valley of Oregon, especially the northern valley when winds blowing through the Columbia Gorge transport the beet leafhopper from eastern Oregon.
The leafhopper takes up the virus when feeding and keeps it in its body the rest of its life. Normally, the virus must incubate 21 to 24 hours or longer in the insect's body before it can be transmitted to another plant, but if the temperature is very high incubation may be reduced to 4 to 6 hours. Leafhopper eggs never carry the virus.
Temperature affects the interval between the insect's feeding and the appearance of curly top symptoms. If it is very hot, symptoms may show in 24 hours; with normal temperatures, in 7 to 14 days; in cool weather, up to 30 days. The disease is in areas where light is intense, summer heat is prolonged, relative humidity is low, and evaporation is rapid. In years when average relative humidity is 35%, the disease is very severe; when it is over 50%, there is almost no curly top. Shading, which lowers light intensity and retards evaporation, probably delays leafhopper visits, decreases the infection rate, and reduces symptom expression.


","Leaflets roll up and twist sharply, exposing their undersurfaces. Foliage is stiff and leathery, and the entire plant is a peculiar dull yellow. Leaflet veins purple, and the plant often is stunted. Many roots and rootlets die, as do severely affected plants. Can be confused with aster yellows.


","Many controls, including trying to control the leafhopper vector, have not produced satisfactory results.

1) These cultivars are resistant to curly top (those marked VF also are resistant to Verticillium and Fusarium wilt): Payette, Owyhee, Super Star VF, Red Lode VF, Ida-Red VF, Parma VF, Bicentennial VF, Rowpac VF, Columbia VF, Roza VF, and Salad Master VF.

2) Shading plants helps avoid leafhopper attack in home gardens.

",,
Tomato ,(Lycopersicon esculentum)-Damping-off (Seed and Seedling Rot),"The following fungi or fungus-like microorganisms, Pythium spp., Phytophthora spp., and Rhizoctonia solani, attack young seedlings of many vegetables including tomato. Seedlings are susceptible to infection before or after emerging from soil. If seedlings are affected before emerging, it appears as poor germination. If the decay is after emergence, seedlings that fall over or die are said to ""damp-off."" The disease's destructiveness depends on environmental conditions and the amount of fungus in the soil. Cool, cloudy weather, wet soil, compacted soil, high humidity, and overcrowding are especially favorable to damping-off. Poor ventilation in greenhouses and contaminated soil or equipment also favors damping-off.


","Young seedlings develop a sunken, necrotic lesion near the soil line. If the lesion girdles the stem, the seedling collapses and soon dies. Also, seeds simply may not emerge.


","

1) In the greenhouse or seedbed, pasteurize the soil with heat. For example, most pathogens die if soil is heated to 158°F (70°C) for 30 min. with aerated steam.

2) Use raised beds to improve soil drainage, and avoid excessive irrigation.

3) If damping-off occurs, stop watering for a while. Allow soil to dry somewhat around the plants. If the seedlings are in flats or in cold frames, give them as much air and light as possible.

4) Use good sanitation in greenhouses.

","


1) Seed treatment with one of the following fungicides.

1.1) Apron XL at 0.085 to 0.64 fl oz/100 lb seed plus a dye to control Pythium spp. See label for reentry restrictions.
1.2) Dynasty at 0.10 to 0.38 fl oz/100 lb seed plus a dye. 4-hr reentry.
1.3) Maxim 4FS at 0.08 to 0.16 fl oz/100 lb seed plus a dye. To control pathogenic Fusarium and Rhizoctonia spp. 12-hr reentry.
1.4) Thiram 50WP Dyed at 6 oz/100 lb seed (not labeled for Oregon) or 42-S Thiram at 6 fl oz/100 lb seed plus a dye. See label for reentry restrictions.
2) Aliette WDG at 2.5 to 5 lb/A in at least 10 gal water/A on 7- to 14-day intervals to control . Use sufficient water to wet the entire plant canopy. Do not apply within 14 days of harvest. Do not combine with copper products. 12-hr reentry.

3) C-O-C-S WDG at 1 lb/A. Do not apply through any irrigation system. 48-hr reentry. .

4) Ridomil Gold SL at 1 to 2 pints/A as a broadcast or band, to control . Do not use for greenhouse crops. Rotation crop restrictions apply; see product label for details. 48-hr reentry.

","


1) Actinovate AG at 3 to 12 oz/A as a soil drench at planting. 1-hr reentry.

2) Cease at 4 to 8 quarts in 100 gal water applied to soil at 1 pint/sq ft for each 3-inches of soil depth on 21- to 28-day intervals. For . 4-hr reentry.

3) Double Nickel LC at 0.5 to 4.5 pints/A for soil application on 14- to 28-day intervals. Can be applied the day of harvest. 4-hr reentry.

4) Mycostop at 0.07 oz/lb seed or Mycostop Mix at 0.05 to 0.08 oz/lb seed. 4-hr reentry.

5) Prestop at 1.4 to 14 oz/10 gal water (0.1% to 1.0% suspension) as a soil drench or incorporation into growing medium. 0-hr reentry.

6) Regalia at 1 to 2 quarts/A as an in-furrow treatment. 4-hr reentry.

7) Rootshield Home and Garden at 1 to 3 Tbsp/gal water as a soil drench at planting.

8) Rootshield WP at 3 to 5 oz/100 gal water for greenhouse soil drench and field chemigation or at 16 to 32 oz/A as an in-furrow spray. 0-hr reentry.

9) SoilGard 12G at 0.5 to 10 lb/A at 4-week intervals will suppress  and . See label for specific application types and timings. Can be applied on the day of harvest.

10) T-22 HC at 0.35 to 26.4 lb/100 lb seed (commercial seed treatment) or 16 to 32 oz/A (in-furrow or transplant application) will suppress certain fungal pathogens including , , and  spp. Do not use in alkaline soils or if soil is below 50°F. 4-hr reentry.

11) Taegro ECO at 2.6 to 5.2 oz/A on 7- to 14-day intervals can suppress soilborne diseases. 24-hr reentry.

12) Tenet WP at 2.5 to 5.0 lb/A at sowing will suppress certain fungal pathogens including , , and  spp. See label for specific application types and timings. 1-hr reentry.

"
Tomato ,(Lycopersicon esculentum)-Double Streak,"A combination of Tobacco mosaic virus and Potato virus X. Workers or equipment mechanically transmit this disease. Virus strains, plant age, and day length influence symptom severity.


","Symptoms may appear suddenly. Small, brown leaf spots appear on young leaves. Leaves curl down, and leaves and stems die. Long, narrow, dark brown streaks on the stem and petiole extend beneath the epidermis into the pith. The whole plant may be killed. Fruit may be distorted and have small, superficial lesions, or fruit may not form.


","

1) Wash hands with soap and water, especially after smoking, before handling plants.

2) Do not smoke while handling tomato plants. About 80% of cigarettes contain virus-infected tobacco. Do not handle potatoes before working with tomatoes.

3) Remove and destroy infected plants.

4) Do not plant tomatoes where there is potato debris.

5) Disinfect tools after handling infected plants.

6) Use -resistant varieties along with the above cultural practices.

",,
Tomato ,(Lycopersicon esculentum)-Early Blight,"Alternaria tomatophilai (formerly A. solani), a fungus that may also attack horsenettle, nightshade, and other wild plants related to tomato. The fungus may be on or in seed, but internal infection is rare in seed produced commercially. The fungus can survive on infected plant refuse in soil or overwinter on solanaceous plants. Infection is favored by temperatures of 75°F to 84°F, high moisture, and low soil fertility. The disease is not common in Oregon, particularly west of the Cascade Range.


","Small, irregular, blackish brown spots usually first appear on older leaves. Spots enlarge to 0.25 to 0.5 inch in diameter, and they commonly show ridged concentric rings in a target pattern. Leaf tissue around the spots turns yellow. If spots are numerous, the entire leaf will be yellowed. Some spotting may be on older leaves early in the season, but the greatest injury usually is as fruit begins to mature. Defoliation may be severe if environmental conditions are favorable, exposing the fruit to sun scald.
Older fruit develop dark, leathery, sunken spots that may be quite large with concentric markings similar to those on diseased leaves. The dark, dry decay may extend some depth into the fruit. Infected mature or immature fruit frequently fall from the plant.
Seedlings may have circular or elongated lesions with concentric markings on the stem, which will girdle the plant. This symptom is known as collar rot.


","

1) Rotate with nonhost crops for 3 to 4 years. Eradicate weed hosts and volunteer tomato plants.

2) Use pathogen-free seed or transplants.

3) Maintain plant vigor and proper fertilization.

4) Remove and destroy plant debris at year-end. Alternatively, hot compost or incorporate into the soil soon after harvest.

5) Irrigate so that leaves dry fairly quickly.

6) Use pathogen-free soil and equipment in the greenhouse or seedbed.

","Spray at regular intervals.


1) Bordeaux 8-8-100.

2) Carboxamide (Group 7) formulations are registered for use. Do not make more than two (2) sequential applications before alternating to a labeled fungicide with a different mode of action.

2.1) Endura at 2.5 to 3.5 oz/A on 7- to 14-day intervals. Preharvest interval is 0 days. 12-hr reentry.
2.2) Fontelis at 10 to 24 fl oz/A on 7- to 14-day intervals. Preharvest interval is 0 days. 12-hr reentry.
3) Chlorothalonil formulations.

3.1) Bonide Fung-onil is available for home gardens. H
3.2) Bravo Ultrex at 1.3 to 1.8 lb/A on 7- to 10-day intervals. 12-hr reentry. 
3.3) Echo 720 at 1.38 to 2 pints/A on 7- to 10-day intervals. Preharvest interval is 0 days. 12-hr reentry.
4) Copper products are not recommended as stand-alone materials.

4.1) Champ WG at 1.06 lb/A on 3- to 10-day intervals. 48-hr reentry. H O
4.2) Cueva at 0.5 to 2 gal/100 gal water on 7- to 10-day intervals. May be applied on the day of harvest. 4-hr reentry. O
4.3) Cuprofix Ultra 40D at 1.25 to 3 lb/A on 5- to 10-day intervals. 48-hr reentry.
4.4) Kocide 2000 at 1.5 to 3 lb/A or Kocide 3000 at 0.75 to 1.75 lb/A on 5- to 10-day intervals. 48-hr reentry.
4.5) Liqui-Cop at 1 to 3 teaspoons/gal water. H
4.6) Nu Cop 50 WP at 2 to 3 lb/A on 7- to 10-day intervals. Do not apply within 1 day of harvest. 48-hr reentry. O
5) Dithane DF Rainshield at 1.5 to 2 lb/A or Dithane F-45 Rainshield at 1.2 to 1.6 quarts/A. Do not apply within 5 days of harvest. 24-hr reentry.

6) Fracture at 24.4 to 36.6 fl oz/A on 7- to 10-day intervals. Preharvest interval is 1 day. 4-hr reentry.

7) ManKocide at 1 to 3 lb/A on 7- to 10-day intervals. Under moderate to severe disease pressure use the higher rate on 3- to 7-day intervals. Do not apply within 5 days of harvest. 48-hr reentry.

8) OSO 5% SC (Group 19) at 3.75 to 13 fl oz/A on 7- to 14-day intervals. Can be applied the day of harvest. 4-hr reentry.

9) Scala SC at 7 fl oz/A on 7- to 14-day intervals. Use  in a tank-mix with another effective early blight fungicide. Do not apply within 1 day of harvest. 12-hr reentry.

10) Strobilurin fungicides (Group 11) are labeled for use. Do not make more than one (1) application of a Group 11 fungicide before alternating to a labeled fungicide with a different mode of action.

10.1) Aftershock at 2 to 5.7 fl oz/A. Do not apply within 3 days of harvest. 12-hr reentry.
10.2) Cabrio EG at 8 to 12 oz/A or at 8 to 12 oz/100 gal spray volume (dilute). Preharvest interval is 0 days. 12-hr reentry.
10.3) Evito 480 SC at 5.7 fl oz/A. Preharvest interval is 3 days. 12-hr reentry.
10.4) Flint at 2 to 3 oz/A. Do not apply within 3 days of harvest. 12-hr reentry.
10.5) Quadris Flowable at 5 to 6.2 fl oz/A. Do not apply with an adjuvant. May be applied the day of harvest. 4-hr reentry.
10.6) Quadris Opti at 1.6 pints/A or Quadris Top at 8 fl oz/A. Preharvest interval is 0 days. 12-hr reentry.
10.7) Reason 500 SC at 5.5 to 8.2 fl oz/A. Do not apply within 14 days of harvest. 12-hr reentry.
11) Trilogy at 0.5% to 1% or Neem Oil 70% at 1%. Do not use above 90°F or when plants are under heat or moisture stress. Do not use when foliage is wet as good coverage is essential. Poor control as a stand-alone product. 4-hr reentry.

12) Premixed fungicides are available for use.

12.1) Aprovia Top (Group 7 + 3) at 10.5 to 13.5 fl oz/A on 7- to 14-day intervals. Do not apply more than two (2) sequential applications. Can be applied the day of harvest. 12-hr reentry. 
12.2) Inspire Super (Group 3 + 9) at 16 to 20 fl oz/A on 7- to 10-day intervals. Do not make more than two (2) applications before alternating to a labeled fungicide with a different mode of action (non-Group 3 or 9). Preharvest interval is 0 day. 12-hr reentry.
12.3) Orondis Opti (Group M5 + 49) at 1.75 to 2.5 pints/A on 7- to 14-day intervals. Do not apply more than two (2) sequential applications. Preharvest interval is 0 days. 12-hr reentry.
12.4) Priaxor Xemium Brand (Group 7 + 11) at 4 to 8 fl oz/A on 7- to 14-day intervals. Preharvest interval is 0 day. 12-hr reentry.
12.5) Switch (Group 9 + 12) at 11 to 14 oz/A on 7- to 10-day intervals. Do not apply more than two (2) sequential applica-tions before alternating to another fungicide with a different mode of action (non-Group 9 or 12) for two (2) applications. Do not apply to small tomatoes in the greenhouse. May be applied the day of harvest. 12-hr reentry.
12.6) Tanos (Group 11 + 27) at 6 to 8 oz/A on 5- to 7-day intervals. Must be tank-mixed with an appropriate fungicide with a different mode of action (non-Group 11 or 27). Do not apply within 3 days of harvest. 12-hr reentry.
","


1) Actinovate AG at 3 to 12 oz/A as a foliar spray on 7- to 14-day intervals. 1-hr reentry.

2) Double Nickel LC at 0.5 to 6 quarts/A on 3- to 10-day intervals. Can be applied the day of harvest. 4-hr reentry.

3) LifeGard WG (Group P6) at 1 to 4.5 oz/100 gal on 7- to 14-day intervals for activating plant resistance. Refer to label for appropriate rate per application volume. Preharvest interval is 0 days. 4-hr reentry.

4) Regalia (Group P5) at 1 to 4 quarts/A plus another fungicide on 7- to 10-day intervals. Preharvest interval is 0 days. 4-hr reentry.

5) Serenade MAX at 1 to 3 lb/A on 5- to 7-day intervals. Applications can be made up to harvest. 4-hr reentry.

6) Sonata at 2 to 4 quarts/A on 7- to 14-day intervals. Can be applied up to and on the day of harvest. 4-hr reentry.

"
Tomato ,(Lycopersicon esculentum)-Gray Mold (Ghost Spot),"Botrytis cinerea, a fungus. Symptoms of ghost spot on fruit result from the fungus' unsuccessful attempt to infect. There is no rot, but fruit is unmarketable.  The fungus can also colonize leaves and stems. The disease is promoted by wet, humid conditions.


","Faint, pale halos (3 to 8 mm in diameter) appear on fruit. They are white on immature fruit, yellow on ripe fruit. A small necrotic fleck may appear along with the halo. Spots rarely develop further.


","

1) Stake plants and manage excessive foliage to encourage air flow and rapid drying.

2) Remove dead or infected plant parts such as flowers, leaves, and rotted fruit.

3) Avoid overhead irrigation that keeps fruit wet a long time.

","


1) Bonide Fung-onil is available for home gardens.

2) Carboxamide (Group 7) formulations are registered for use. Do not make more than two (2) sequential applications before alternating to a labeled fungicide with a different mode of action.

2.1) Endura at 9 to 12.5 oz/A on 7- to 14-day intervals. Preharvest interval is 0 days. 12-hr reentry.
2.2) Fontelis at 10 to 24 fl oz/A on 7- to 14-day intervals. Preharvest interval is 0 days. 12-hr reentry.
3) Copper products are not recommended as stand-alone materials.

3.1) Champ WG at 1.06 lb/A on 3- to 10-day intervals. 48-hr reentry. H O
3.2) Cueva at 0.5 to 2 gal/100 gal water on 7- to 10-day intervals. May be applied on the day of harvest. 4-hr reentry. O
3.3) Cuprofix Ultra 40D at 1.25 to 3 lb/A on 5- to 10-day intervals. 48-hr reentry. 
3.4) Kocide 2000 at 1.5 to 3 lb/A or Kocide 3000 at 0.75 to 1.75 lb/A on 5- to 10-day intervals. 48-hr reentry.
4) Inspire Super (Group 3 + 9) at 16 to 20 fl oz/A on 7- to 10-day intervals. Do not make more than one (1) application before alternating to a labeled fungicide with a different mode of action (non-Group 3 or 9). Preharvest interval is 0 day. 12-hr reentry.

5) Orondis Opti (Group M5 + 49) at 1.75 to 2.5 pints/A on 7- to 14-day intervals. Do not apply more than two (2) sequential applications. Preharvest interval is 0 days. 12-hr reentry.

6) OSO 5% SC (Group 19) at 3.75 to 13 fl oz/A on 7- to 14-day intervals. Can be applied the day of harvest. 4-hr reentry.

7) Scala SC at 7 fl oz/A on 7- to 14-day intervals. Use  in a tank-mix with another fungicide effective on this disease. Do not apply within 1 day of harvest. 12-hr reentry.

8) Trilogy at 0.5% to 1%. Do not use above 90°F or when plants are under heat or moisture stress. Do not use when foliage is wet as good coverage is essential. Poor control as a stand-alone product. 4-hr reentry.

","


1) Actinovate AG at 3 to 12 oz/A as a foliar spray on 7- to 14-day intervals. 1-hr reentry.

2) Double Nickel LC at 0.5 to 6 quarts/A on 3- to 10-day intervals. Can be applied the day of harvest. 4-hr reentry.

3) LifeGard WG (Group P6) at 1 to 4.5 oz/100 gal on 7- to 14-day intervals for activating plant resistance. Refer to label for appropriate rate per application volume. Preharvest interval is 0 days. 4-hr reentry.

4) Regalia (Group P5) at 1 to 4 quarts/A plus another fungicide on 7- to 10-day intervals. Preharvest interval is 0 days. 4-hr reentry.

5) Serenade MAX at 1 to 3 lb/A on 7- to 10-day intervals. Applications can be made up to and the day of harvest. 4-hr reentry.

"
Tomato ,(Lycopersicon esculentum)-Green Shoulders,"Possibly high temperatures or exposure to sun. Chlorophyll breaks down more slowly in certain areas of an affected fruit than the fruit areas turning red.


","Green or yellow patches on fruit.


","

1) Shade fruit from sun.

",,
